"","part_id","contact","part_age","cutoff_contact","cutoff_contact_100"
"1","uk_G1_700006",3,"40-49",3,3
"2","uk_G1_700012",1,"30-39",1,1
"3","uk_G1_700013",2,"50-59",2,2
"4","uk_G1_700017",3,"60-69",3,3
"5","uk_G1_700019",1,"50-59",1,1
"6","uk_G1_700021",1,"30-39",1,1
"7","uk_G1_700024",2,"60-69",2,2
"8","uk_G1_700027",2,"30-39",2,2
"9","uk_G1_700028",1,"50-59",1,1
"10","uk_G1_700029",1,"30-39",1,1
"11","uk_G1_700031",3,"50-59",3,3
"12","uk_G1_700032",1,"60-69",1,1
"13","uk_G1_700033",1,"50-59",1,1
"14","uk_G1_700034",1,"30-39",1,1
"15","uk_G1_700035",4,"60-69",4,4
"16","uk_G1_700037",4,"30-39",4,4
"17","uk_G1_700040",2,"18-29",2,2
"18","uk_G1_700043",2,"60-69",2,2
"19","uk_G1_700045",3,"30-39",3,3
"20","uk_G1_700049",1,"60-69",1,1
"21","uk_G1_700051",3,"60-69",3,3
"22","uk_G1_700053",1,"40-49",1,1
"23","uk_G1_700056",2,"60-69",2,2
"24","uk_G1_700057",4,"40-49",4,4
"25","uk_G1_700059",6,"30-39",6,6
"26","uk_G1_700060",7,"18-29",7,7
"27","uk_G1_700061",2,"60-69",2,2
"28","uk_G1_700065",2,"40-49",2,2
"29","uk_G1_700067",2,"60-69",2,2
"30","uk_G1_700069",2,"40-49",2,2
"31","uk_G1_700073",1,"50-59",1,1
"32","uk_G1_700074",1,"40-49",1,1
"33","uk_G1_700075",5,"50-59",5,5
"34","uk_G1_700077",3,"70-120",3,3
"35","uk_G1_700078",3,"40-49",3,3
"36","uk_G1_700079",3,"60-69",3,3
"37","uk_G1_700080",6,"40-49",6,6
"38","uk_G1_700081",5,"18-29",5,5
"39","uk_G1_700083",2,"30-39",2,2
"40","uk_G1_700084",3,"50-59",3,3
"41","uk_G1_700085",3,"50-59",3,3
"42","uk_G1_700086",6,"50-59",6,6
"43","uk_G1_700087",6,"60-69",6,6
"44","uk_G1_700089",3,"50-59",3,3
"45","uk_G1_700093",8,"50-59",8,8
"46","uk_G1_700095",5,"18-29",5,5
"47","uk_G1_700096",4,"60-69",4,4
"48","uk_G1_700098",7,"40-49",7,7
"49","uk_G1_700099",1,"30-39",1,1
"50","uk_G1_700100",3,"60-69",3,3
"51","uk_G1_700102",5,"50-59",5,5
"52","uk_G1_700103",312,"50-59",20,100
"53","uk_G1_700104",2,"40-49",2,2
"54","uk_G1_700105",3,"30-39",3,3
"55","uk_G1_700108",2,"60-69",2,2
"56","uk_G1_700110",1,"40-49",1,1
"57","uk_G1_700111",2,"50-59",2,2
"58","uk_G1_700112",1,"50-59",1,1
"59","uk_G1_700113",7,"50-59",7,7
